nom_cle_comparaison,nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,statut_exact
KARE REGINALD,REGINALD KARE,Réginald KARE,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:39,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KARINE PIG POININE,KARINE PIG POININE,"Karine, Pig POININE",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:30,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KASOVIMOIN SINDY,SINDY KASOVIMOIN,Sindy KASOVIMOIN,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:32,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KASOVIMOIN YOLANDE,YOLANDE KASOVIMOIN,Yolande KASOVIMOIN,Province Nord,Province Nord - 06 - UC-FLNKS,Province Nord:24,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KATEI NONKE,KATEI NONKE,Katei NONKE,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:23,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KATIA ZAJAC,KATIA ZAJAC,Katia ZAJAC,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,Province Sud:24,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KAVAHUUMAI PELENATO,PELENATO KAVAHUUMAI,Pélénato KAVAHUUMAI,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:07,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KAWA SONIA,SONIA KAWA,Sonia KAWA,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:20,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KAWAI NEKIRIAI,KAWAI NEKIRIAI,Kawaï NEKIRIAÏ,Province Nord,Province Nord - 05 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE NORD (MNIS NORD),Province Nord:32,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KEDO ROSINA,ROSINA KEDO,Rosina KEDO,Province Nord,Province Nord - 06 - UC-FLNKS,Province Nord:10,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KELETAONA MAREVA,MAREVA KELETAONA,Mareva KELETAONA,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:39,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KENRICK KOINDREDI,KENRICK KOINDREDI,Kenrick KOINDREDI,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:07,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KEYLA VAMA,KEYLA VAMA,Keyla VAMA,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:26,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KICINE YVETTE,YVETTE KICINE,Yvette KICINE,Province des Iles,Province des Iles - 03 - PARTI TRAVAILLISTE,Province des Iles:04,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KIKI SERGE,SERGE KIKI,Serge KIKI,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:15,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KILAMA LUCIA VAIAGINA,LUCIA KILAMA VAIAGINA,Lucia KILAMA née VAIAGINA,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:22,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KONGHOULEUX NICOLE TAVERGEUX,NICOLE TAVERGEUX KONGHOULEUX,Nicole TAVERGEUX ép KONGHOULEUX,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Province Nord:10,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KONGHOULEUX THALINE,THALINE KONGHOULEUX,Thaline KONGHOULEUX,Province des Iles,Province des Iles - 03 - PARTI TRAVAILLISTE,Province des Iles:24,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KONYI SLEITHZ,SLEITHZ KONYI,Sleithz KONYI,Province Nord,Province Nord - 05 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE NORD (MNIS NORD),Province Nord:02,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
