nom_cle_comparaison,nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,statut_exact
HONORAT WENEGUEI,HONORAT WENEGUEI,Honorat WENEGUEI,Province des Iles,Province des Iles - 01 - UNITAIRE KANAKY GENERATION,Province des Iles:15,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
HOUDAN OLIVIER,OLIVIER HOUDAN,Olivier HOUDAN,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:49,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
HUBERT KUGOGNE,HUBERT KUGOGNE,Hubert KUGOGNE,Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),Province des Iles:16,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
HUE REINE VENDEGOU,REINE VENDEGOU HUE,Reine VENDEGOU - HUE,Province des Iles,Province des Iles - 02 - UC - FLNKS,Province des Iles:04,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
HUNENU PASCAL TUPAISSI,PASCAL HUNENU TUPAISSI,"Pascal,Hunenu TUPAISSI",Province des Iles,Province des Iles - 08 - PALIKA ILES,Province des Iles:19,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
HWEILLIA NOEMIE,NOEMIE HWEILLIA,Noémie HWEILLIA,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,Province Sud:40,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
HYAOUNITE SEPHORA,SEPHORA HYAOUNITE,Sephora HYAOUNITE,Province Nord,Province Nord - 06 - UC-FLNKS,Province Nord:26,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
IALE LIKUVALU,IALE LIKUVALU,Ialé LIKUVALU,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:45,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
IDA WADROBERT,IDA WADROBERT,Ida WADROBERT,Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),Province des Iles:09,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
IGNACE WANGANE,IGNACE WANGANE,Ignace WANGANE,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:33,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
IHAGE ROBERT,ROBERT IHAGE,Robert IHAGE,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord:09,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
IHILY MAIMA ROSE,ROSE MAIMA IHILY,Rose Maïma IHILY,Province des Iles,Province des Iles - 08 - PALIKA ILES,Province des Iles:20,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ILAISANE LAUOUVEA,ILAISANE LAUOUVEA,Ilaisane LAUOUVEA,Province Sud,Province Sud - 07 - FLNKS,Province Sud:36,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
IOPUE LUENE,LUENE IOPUE,Luene IOPUE,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:11,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
IOTEFA REIHIA,REIHIA IOTEFA,Reihia IOTEFA,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,Province Sud:46,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ISABELLA LUTOVIKA MARIA SALIGA,MARIA ISABELLA LUTOVIKA SALIGA,Maria Isabella LUTOVIKA née SALIGA,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:04,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ISABELLE LAFLEUR,ISABELLE LAFLEUR,Isabelle LAFLEUR,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:47,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ISALA PAGATELE,ISALA PAGATELE,Isala PAGATELE,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",Province Sud:17,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
IWA SHEENA,SHEENA IWA,Sheena IWA,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,Province Sud:18,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JACKY JEAN OINE,JEAN JACKY OINE,Jean-Jacky OINE,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:24,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JACQUELINE MORLET,JACQUELINE MORLET,Jacqueline MORLET,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:16,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JACQUELINE VOUDJO,JACQUELINE VOUDJO,Jacqueline VOUDJO,Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),Province des Iles:21,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JACQUES JEAN LAGIKULA,JEAN JACQUES LAGIKULA,Jean-Jacques LAGIKULA,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:41,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JACQUES JEAN TOEMINO,JEAN JACQUES TOEMINO,Jean-Jacques TOEMINO,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,Province Sud:47,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JACQUES MARIE TUTUGORO VICTOR,VICTOR MARIE JACQUES TUTUGORO,"Victor, Marie, Jacques TUTUGORO",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:09,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JACQUES MERMOUD,JACQUES MERMOUD,Jacques MERMOUD,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:22,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JACQUES RASMAN SOUKITO,SOUKITO JACQUES RASMAN,Soukito Jacques RASMAN,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:13,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JACQUES SIMIJANE,JACQUES SIMIJANE,Jacques SIMIJANE,Province des Iles,Province des Iles - 03 - PARTI TRAVAILLISTE,Province des Iles:11,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JACQUES TAHMUMU,JACQUES TAHMUMU,Jacques TAHMUMU,Province des Iles,Province des Iles - 02 - UC - FLNKS,Province des Iles:11,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JALABERT NADINE,NADINE JALABERT,Nadine JALABERT,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:15,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JAMES MERCIER,JAMES MERCIER,James MERCIER,Province Nord,"Province Nord - 03 - UNE PROVINCE POUR TOUS, CALEDONIENS ENSEMBLE. POUR UN AVENIR DU PAYS DANS LA PAIX AUX COULEURS DE LA FRANCE",Province Nord:31,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JAMES SONG,JAMES SONG,James SONG,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord:25,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEAN KOTOPEU PHILIPPE,JEAN PHILIPPE KOTOPEU,Jean-Philippe KOTOPEU,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:17,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEAN KUILAGI PIERRE,JEAN PIERRE KUILAGI,Jean-Pierre KUILAGI,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:15,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEAN LAOUNIOU,JEAN LAOUNIOU,Jean LAOUNIOU,Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,Province des Iles:11,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEAN LOUIS SINEWAMI,JEAN LOUIS SINEWAMI,Jean-Louis SINEWAMI,Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,Province des Iles:09,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEAN MALEJAC YVES,JEAN YVES MALEJAC,Jean-Yves MALEJAC,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,Province Sud:07,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEAN MARC NEDENON,JEAN MARC NEDENON,Jean Marc NEDENON,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:37,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEAN MARC PEAROU,JEAN MARC PEAROU,Jean-Marc PEAROU,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Province Nord:27,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEAN PHILIPPE ROUQUETTE,JEAN PHILIPPE ROUQUETTE,Jean-Philippe ROUQUETTE,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,Province Sud:19,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEAN PIERRE POSTIC RAYMOND,JEAN RAYMOND PIERRE POSTIC,"Jean-Raymond, Pierre POSTIC",Province Sud,Province Sud - 07 - FLNKS,Province Sud:39,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEAN WAIKEDRE,JEAN WAIKEDRE,Jean WAIKEDRE,Province des Iles,Province des Iles - 05 - DYNAMIQUE AUTOCHTONE,Province des Iles:06,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEAN WAIMO YVES,JEAN YVES WAIMO,Jean-Yves WAIMO,Province des Iles,Province des Iles - 03 - PARTI TRAVAILLISTE,Province des Iles:15,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEANNE LARISSYA SELEFEN VIRGINE,LARISSYA JEANNE VIRGINE SELEFEN,"Larissya, Jeanne, Virgine SELEFEN",Province Sud,Province Sud - 07 - FLNKS,Province Sud:18,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEANNE NEMIA TATASI WAPALA,JEANNE TATASI WAPALA NEMIA,"Jeanne, Tatasi WAPALA épouse NEMIA",Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),Province des Iles:15,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEANNE OUCKENE WACO WAHICKO,JEANNE WACO WAHICKO OUCKENE,"Jeanne, Waco WAHICKO ép OUCKENE",Province des Iles,Province des Iles - 04 - AVEC NOUS,Province des Iles:06,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEANNE PALAOU,JEANNE PALAOU,Jeanne PALAOU,Province Nord,Province Nord - 06 - UC-FLNKS,Province Nord:28,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEANNE POELLABAUER,JEANNE POELLABAUER,Jeanne POELLABAUER,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:33,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JENNIFER PREVEL,JENNIFER PREVEL,Jennifer PREVEL,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,Province Sud:14,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEREMY SANTACROCE,JEREMY SANTACROCE,Jérémy SANTACROCE,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:11,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEROME SIRET,JEROME SIRET,Jérôme SIRET,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:40,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JESSICA TEIN,JESSICA TEIN,Jessica TEIN,Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:12,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEWEINE KUGOGNE LAURA,LAURA KUGOGNE JEWEINE,Laura KUGOGNE ép. JEWEINE,Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,Province des Iles:02,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JEWINE KATE PHILOMENE,PHILOMENE KATE JEWINE,Philomène KATE ep JEWINE,Province des Iles,Province des Iles - 08 - PALIKA ILES,Province des Iles:08,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JIMI SOURODIKROMO,JIMI SOURODIKROMO,Jimi SOURODIKROMO,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:09,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JO PEYRONNET,D JO PEYRONNET,D'Jo PEYRONNET,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",Province Sud:23,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JOAN MAPOU,JOAN MAPOU,Joan MAPOU,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:26,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
