annee,scrutin,date_scrutin,source_arrete,province,numero_liste,liste_nom,couleur_bulletin,embleme,rang,nom_prenoms,sexe,page_source,source_url,nom_normalise,nom_cle_comparaison,ocr_a_verifier,liste_id
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,48,Catherine DUHNARA,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,CATHERINE DUHNARA,CATHERINE DUHNARA,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,49,Théodore WELEPA,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,THEODORE WELEPA,THEODORE WELEPA,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,50,Rosmée WELEPA,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,ROSMEE WELEPA,ROSMEE WELEPA,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,2,RASSEMBLEMENT NATIONAL,NA,NA,1,Alain DESCOMBELS,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,ALAIN DESCOMBELS,ALAIN DESCOMBELS,FALSE,2019_Province Sud_02
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,2,RASSEMBLEMENT NATIONAL,NA,NA,2,Bianca HENIN,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,BIANCA HENIN,BIANCA HENIN,FALSE,2019_Province Sud_02
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,2,RASSEMBLEMENT NATIONAL,NA,NA,3,Christopher BOURGINE,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,CHRISTOPHER BOURGINE,BOURGINE CHRISTOPHER,FALSE,2019_Province Sud_02
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,2,RASSEMBLEMENT NATIONAL,NA,NA,4,Aude LEGRAS,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,AUDE LEGRAS,AUDE LEGRAS,FALSE,2019_Province Sud_02
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,2,RASSEMBLEMENT NATIONAL,NA,NA,5,Jean-Michel POILAGI,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,JEAN MICHEL POILAGI,JEAN MICHEL POILAGI,FALSE,2019_Province Sud_02
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,2,RASSEMBLEMENT NATIONAL,NA,NA,6,Esmeralda TUULAKI,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,ESMERALDA TUULAKI,ESMERALDA TUULAKI,FALSE,2019_Province Sud_02
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,2,RASSEMBLEMENT NATIONAL,NA,NA,7,Jean-Yves MALEJAC,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,JEAN YVES MALEJAC,JEAN MALEJAC YVES,FALSE,2019_Province Sud_02
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,2,RASSEMBLEMENT NATIONAL,NA,NA,8,Lindsey BABIN,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,LINDSEY BABIN,BABIN LINDSEY,FALSE,2019_Province Sud_02
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,2,RASSEMBLEMENT NATIONAL,NA,NA,9,Stephane CHIPAULT,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,STEPHANE CHIPAULT,CHIPAULT STEPHANE,FALSE,2019_Province Sud_02
