nom_cle_comparaison_2019,nom_cle_comparaison_2026,nom_affiche_2019,province_2019,liste_2019,rang_2019,nom_affiche_2026,province_2026,liste_2026,rang_2026,nom_clean_2019,nom_clean_2026,tokens_2019,tokens_2026,tokens_communs,nb_tokens_communs,nb_tokens_rares_communs,n_tokens_2019,n_tokens_2026,dice_tokens,lev_distance,lev_ratio,meme_province,tokens_non_prenoms_communs,a_token_non_prenom_commun
FAUPALA PULEOTO VIRGINIE,HAELEMAI VIRGINIE,Virginie FAUPALA née PULEOTO,Province Sud,L'Eveil oceanien,32,HAELEMAÏ Virginie,Province Sud,Un autre monde est possible,8,FAUPALA PULEOTO VIRGINIE VIRGINIE FAUPALA NEE PULEOTO,HAELEMAI VIRGINIE HAELEMAI VIRGINIE,FAUPALA|PULEOTO|VIRGINIE,HAELEMAI|VIRGINIE,VIRGINIE,1,1,3,2,0.4,36,0.6792452830188679,TRUE,VIRGINIE,TRUE
FAUPALA PULEOTO VIRGINIE,PAILLARD VIRGINIE,Virginie FAUPALA née PULEOTO,Province Sud,L'Eveil oceanien,32,À PAILLARD Virginie,Province Sud,Unis pour le Pays,4,FAUPALA PULEOTO VIRGINIE VIRGINIE FAUPALA NEE PULEOTO,PAILLARD VIRGINIE A PAILLARD VIRGINIE,FAUPALA|PULEOTO|VIRGINIE,PAILLARD|VIRGINIE,VIRGINIE,1,1,3,2,0.4,36,0.6792452830188679,TRUE,VIRGINIE,TRUE
EPIFANIA GATA TUPUOLA,GATA HELENE,Epifania GATA née TUPUOLA,Province Sud,Caledonie nouvelle et reunie,2,GATA Hélène,Province Sud,Alliance Pacifik enracinee,7,EPIFANIA GATA TUPUOLA EPIFANIA GATA NEE TUPUOLA,GATA HELENE GATA HELENE,EPIFANIA|GATA|TUPUOLA,GATA|HELENE,GATA,1,1,3,2,0.4,32,0.6808510638297872,TRUE,GATA,TRUE
JEAN PHILIPPE ROUQUETTE,GERALD ROUQUETTE,Jean-Philippe ROUQUETTE,Province Sud,Rassemblement national,19,ROUQUETTE Gerald,Province Sud,"France Caledonie, une patrie",42,JEAN PHILIPPE ROUQUETTE JEAN PHILIPPE ROUQUETTE,GERALD ROUQUETTE ROUQUETTE GERALD,JEAN|PHILIPPE|ROUQUETTE,GERALD|ROUQUETTE,ROUQUETTE,1,1,3,2,0.4,32,0.6808510638297872,TRUE,ROUQUETTE,TRUE
CITRE EDOUARD,CITRE FULBERT WADEWI,Edouard CITRE,Province des Iles,Avec nous,3,"CITRE Fulbert, Wadewi",Province des Iles,Baselaia,21,CITRE EDOUARD EDOUARD CITRE,CITRE FULBERT WADEWI CITRE FULBERT WADEWI,CITRE|EDOUARD,CITRE|FULBERT|WADEWI,CITRE,1,1,2,3,0.4,28,0.6829268292682927,TRUE,CITRE,TRUE
ENOKA LUCIE,BEARUNE ENOKA STEPHANIE,Lucie ENOKA,Province des Iles,Parti travailliste,8,BEARUNE épouse ENOKA Stéphanie,Province des Iles,Baselaia,22,ENOKA LUCIE LUCIE ENOKA,BEARUNE ENOKA STEPHANIE BEARUNE EPOUSE ENOKA STEPHANIE,ENOKA|LUCIE,BEARUNE|ENOKA|STEPHANIE,ENOKA,1,1,2,3,0.4,37,0.6851851851851852,TRUE,ENOKA,TRUE
HELENE IEKAWE,IEKAWE JOCELYNE PHADOM,Hélène IEKAWE,Province Sud,Caledoniens Ensemble,14,PHADOM ép. IEKAWE Jocelyne,Province Sud,Kanaky pour tous,36,HELENE IEKAWE HELENE IEKAWE,IEKAWE JOCELYNE PHADOM PHADOM EP IEKAWE JOCELYNE,HELENE|IEKAWE,IEKAWE|JOCELYNE|PHADOM,IEKAWE,1,1,2,3,0.4,33,0.6875,TRUE,IEKAWE,TRUE
SINAMO TOATITI VANESSA,BOURNE VANESSA,Vanessa TOATITI ép SINAMO,Province Sud,Destin commun caledonien,34,BOURNE Vanessa,Province Sud,Un espoir pour demain,34,SINAMO TOATITI VANESSA VANESSA TOATITI EP SINAMO,BOURNE VANESSA BOURNE VANESSA,SINAMO|TOATITI|VANESSA,BOURNE|VANESSA,VANESSA,1,1,3,2,0.4,33,0.6875,TRUE,VANESSA,TRUE
ELYANE GOPOEA POUICEMA,ASTRID GOPOEA,"Elyane, Pouicema GOPOEA",Province Nord,UNI,22,GOPOEA Astrid,Province Nord,UNI,16,ELYANE GOPOEA POUICEMA ELYANE POUICEMA GOPOEA,ASTRID GOPOEA GOPOEA ASTRID,ELYANE|GOPOEA|POUICEMA,ASTRID|GOPOEA,GOPOEA,1,1,3,2,0.4,31,0.6888888888888889,TRUE,GOPOEA,TRUE
ADRO KATRAWA MADELEINE,AURELIA KATRAWA,"Madeleine, Adro KATRAWA",Province des Iles,UC-FLNKS,18,KATRAWA Aurélia,Province des Iles,Palika Iles,5,ADRO KATRAWA MADELEINE MADELEINE ADRO KATRAWA,AURELIA KATRAWA KATRAWA AURELIA,ADRO|KATRAWA|MADELEINE,AURELIA|KATRAWA,KATRAWA,1,1,3,2,0.4,31,0.6888888888888889,TRUE,KATRAWA,TRUE
