nom_cle_comparaison_2019,nom_affiche_2019,provinces_2019,listes_2019,nom_cle_comparaison_2026,nom_affiche_2026,provinces_2026,listes_2026,nb_tokens_communs,dice_tokens,jw_distance,statut
ATINOUA CAROLE SANDRINE,"Sandrine, Carole ATINOUA",Province Sud,Province Sud - 07 - FLNKS,AOURIGNA ATINOUA SANDRINE,AOURIGNA ép ATINOUA Sandrine,Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,2,0.6666666666666666,0.21913043478260863,rapprochement_tokens_a_verifier
HOLUE JEAN NOEL,Jean-Noël HOLUE,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,JEAN NOEL SOLE,SOLE Jean Noel,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,2,0.6666666666666666,0.2221001221001221,rapprochement_tokens_a_verifier
CHRISTOPHE CREUGNET JEAN,"Jean, Christophe CREUGNET",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),CHALIOT CHRISTOPHE JEAN,CHALIOT Jean Christophe,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",2,0.6666666666666666,0.2357487922705314,rapprochement_tokens_a_verifier
GOWE JEAN PIERRE,Jean-Pierre GOWE,Province Nord,"Province Nord - 03 - UNE PROVINCE POUR TOUS, CALEDONIENS ENSEMBLE. POUR UN AVENIR DU PAYS DANS LA PAIX AUX COULEURS DE LA FRANCE",JEAN MALO PIERRE,MALO Jean-Pierre,Province des Iles,Province des Iles - 03 - BASELAIA,2,0.6666666666666666,0.2660256410256412,rapprochement_tokens_a_verifier
JEAN KUILAGI PIERRE,Jean-Pierre KUILAGI,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,FARINO JEAN PIERRE,FARINO Jean-Pierre,Province Nord,Province Nord - 04 - FAIRE PAYS,2,0.6666666666666666,0.26893622946254536,rapprochement_tokens_a_verifier
WADEWI WASHETINE,Wadewi WASHETINE,Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),JEAN MICHEL WADEWI WASHETINE,"WASHETINE Jean-Michel, Wadewi",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,2,0.6666666666666666,0.27827380952380965,rapprochement_tokens_a_verifier
GOWE JEAN PIERRE,Jean-Pierre GOWE,Province Nord,"Province Nord - 03 - UNE PROVINCE POUR TOUS, CALEDONIENS ENSEMBLE. POUR UN AVENIR DU PAYS DANS LA PAIX AUX COULEURS DE LA FRANCE",FARINO JEAN PIERRE,FARINO Jean-Pierre,Province Nord,Province Nord - 04 - FAIRE PAYS,2,0.6666666666666666,0.28329772079772075,rapprochement_tokens_a_verifier
FERE JEAN PIERRE,Jean Pierre FERE,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),JEAN PIERRE SELEFEN,SELEFEN Jean-Pierre,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,2,0.6666666666666666,0.2841478696741855,rapprochement_tokens_a_verifier
FRANCOISE HMEUN MARIE,Marie-Françoise HMEUN,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",AGOURERE FRANCOISE MARIE,AGOURERE Marie-Françoise,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,2,0.6666666666666666,0.29761904761904767,rapprochement_tokens_a_verifier
JEAN WAIMO YVES,Jean-Yves WAIMO,Province des Iles,Province des Iles - 03 - PARTI TRAVAILLISTE,BAUDRY JEAN YVES,BAUDRY Jean-Yves,Province Nord,Province Nord - 01 - AGISSONS ENSEMBLE POUR LE NORD,2,0.6666666666666666,0.2991161616161617,rapprochement_tokens_a_verifier
