election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0002,645,458,187,455,2,1,Hnawayetche,HNAWAYETCHE,1,Hnawayatche,Maré,LIEU_DIT_NC,TRIBU,Hnawayaca,167.85931527784155,-21.444202132872793,tribus_villages_nc,17,1501,Guahma
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0003,365,257,108,257,0,0,Tenane,TENANE,1,Tenan,Maré,LIEU_DIT_NC,TRIBU,,167.89430877263374,-21.40460074703544,tribus_villages_nc,17,1501,Guahma
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0004,327,242,85,242,0,0,Atha,ATHA,1,Atha,Maré,LIEU_DIT_NC,TRIBU,,168.01753084168095,-21.470451728197048,tribus_villages_nc,18,1502,La Roche
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0005,406,265,141,263,1,1,Tawainedre,TAWAINEDRE,1,Taweinedr,Maré,LIEU_DIT_NC,TRIBU,,168.08527860190287,-21.502551487309265,tribus_villages_nc,19,1503,Tadine Pénélo
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0006,733,583,150,582,0,1,Penelo,PENELO,1,Penelo,Maré,LIEU_DIT_NC,TRIBU,,168.08945780342214,-21.571088655754444,tribus_villages_nc,19,1503,Tadine Pénélo
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0007,604,479,125,479,0,0,Wabao,WABAO,1,Wabao,Maré,LIEU_DIT_NC,TRIBU,Wabawo,167.93937201549338,-21.60210597985789,tribus_villages_nc,19,1503,Tadine Pénélo
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0008,778,541,237,540,1,0,Netché,NETCHE,1,Netché,Maré,LIEU_DIT_NC,TRIBU,Nece,167.8385405434138,-21.49048664280733,tribus_villages_nc,17,1501,Guahma
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0009,240,168,72,165,0,3,Ménaku,MENAKU,1,Menaku,Maré,LIEU_DIT_NC,TRIBU,,167.96911686605617,-21.444234250592025,tribus_villages_nc,17,1501,Guahma
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0010,332,243,89,239,2,2,Mebuet,MEBUET,1,Mebuet,Maré,LIEU_DIT_NC,TRIBU,,167.84863195183632,-21.51331947619321,tribus_villages_nc,17,1501,Guahma
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0011,285,191,94,191,0,0,Roh,ROH,0.95,Ro,Maré,LIEU_DIT_NC,TRIBU,,167.86202487687797,-21.39242632802858,tribus_villages_nc,17,1501,Guahma
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0012,328,235,93,233,1,1,Eni,ENI,1,Eni,Maré,LIEU_DIT_NC,TRIBU,,167.94942757221617,-21.62666270346723,tribus_villages_nc,19,1503,Tadine Pénélo
provinciales_2019,,PIL,Province des Iles,988,98815,Maré,MARE,0013,597,402,195,400,0,2,La Roche,LA ROCHE,1,La Roche,Maré,LIEU_DIT_NC,TRIBU,,168.03155085257677,-21.471745123256497,tribus_villages_nc,18,1502,La Roche
provinciales_2019,,PIL,Province des Iles,988,98820,Ouvéa,OUVEA,0001,914,620,294,619,0,1,Mairie,MAIRIE,,,,,,,166.5351802059145,-20.652759156712985,arrete_manual_tribus,86,2002,Fayaoué
provinciales_2019,,PIL,Province des Iles,988,98820,Ouvéa,OUVEA,0002,849,478,371,469,2,7,Fayaoué,FAYAOUE,1,Fayaoué,Ouvéa,LIEU_DIT_NC,TRIBU,Fajawe,166.5351802059145,-20.652759156712985,tribus_villages_nc,86,2002,Fayaoué
provinciales_2019,,PIL,Province des Iles,988,98820,Ouvéa,OUVEA,0003,564,396,168,396,0,0,Eot,EOT,1,St Joseph,Ouvéa,LIEU_DIT_NC,TRIBU,Heo,166.60278918905198,-20.44905017069691,tribus_villages_nc,85,2001,Saint Joseph Gossanah Takedji
provinciales_2019,,PIL,Province des Iles,988,98820,Ouvéa,OUVEA,0004,404,255,149,253,0,2,Mouli,MOULI,1,Mouli,Ouvéa,LIEU_DIT_NC,TRIBU,Muli,166.42132025613634,-20.72325484847604,tribus_villages_nc,87,2003,Mouli
provinciales_2019,,PIL,Province des Iles,988,98820,Ouvéa,OUVEA,0005,830,533,297,530,0,3,Wénéki,WENEKI,1,Weneki,Ouvéa,LIEU_DIT_NC,TRIBU,,166.61213110267843,-20.44626073917101,tribus_villages_nc,85,2001,Saint Joseph Gossanah Takedji
provinciales_2019,,PIL,Province des Iles,988,98820,Ouvéa,OUVEA,0006,433,275,158,273,2,0,Ognahut,OGNAHUT,1,Ognahut,Ouvéa,LIEU_DIT_NC,TRIBU,Hanyââû,166.55961927804398,-20.65637156152609,tribus_villages_nc,86,2002,Fayaoué
provinciales_2019,,PIL,Province des Iles,988,98820,Ouvéa,OUVEA,0007,306,182,124,164,14,4,Lekiny,LEKINY,1,Lekine,Ouvéa,LIEU_DIT_NC,TRIBU,Lekiny,166.49017173263093,-20.69359693939266,tribus_villages_nc,87,2003,Mouli
provinciales_2019,,PN,Province Nord,988,98801,Bélep,BELEP,0001,912,490,422,487,1,2,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
provinciales_2019,,PN,Province Nord,988,98804,Canala,CANALA,0001,369,247,122,234,6,7,Mairie,MAIRIE,0.7,CANALA,Canala,LIEU_DIT_NC,VILLE,Xârâcùù,165.96392757417755,-21.522084905801098,tribus_villages_nc,136,401,Canala village
provinciales_2019,,PN,Province Nord,988,98804,Canala,CANALA,0002,791,514,277,509,5,0,Nakéty,NAKETY,1,Nakéty,Canala,LIEU_DIT_NC,TRIBU,Nèkètè,166.04631481753384,-21.54222544058342,tribus_villages_nc,137,403,Gélima - Nakéty
