commune_norm,election,tour,province_code,province,type_resultat,option,nuance,commune,voix,exprimes,inscrits,pct_exprimes,pct_inscrits,rang
BOULOUPARI,legislatives_2024,1,,,candidat,Gérard POADJA,HOR,Bouloupari,126,2265,3345,5.56,3.77,3
BOULOUPARI,legislatives_2024,1,,,candidat,Milakulo TUKUMULI,DVG,Bouloupari,98,2265,3345,4.33,2.93,4
BOULOUPARI,legislatives_2024,1,,,candidat,Ronald FRERE,REG,Bouloupari,28,2265,3345,1.24,0.84,5
BOULOUPARI,legislatives_2024,2,,,candidat,Alcide PONGA,DVD,Bouloupari,1672,2576,3345,64.91,49.99,1
BOULOUPARI,legislatives_2024,2,,,candidat,Emmanuel TJIBAOU,REG,Bouloupari,904,2576,3345,35.09,27.03,2
BOULOUPARI,municipales_2020,1,,,liste,BOULOUPARIS POUR VOUS,LNC,Boulouparis,1181,2165,3143,54.55,37.58,1
BOULOUPARI,municipales_2020,1,,,liste,ENSEMBLE DEVELOPPONS BOULOUPARIS,LNC,Boulouparis,738,2165,3143,34.09,23.48,2
BOULOUPARI,municipales_2020,1,,,liste,FA MURU BEREPWARI,LNC,Boulouparis,246,2165,3143,11.36,7.83,3
BOULOUPARI,municipales_2026,1,,,liste,Pascal VITTORI Boulouparis pour vous,,Bouloupari,962,2265,3381,42.47,28.45,1
BOULOUPARI,municipales_2026,1,,,liste,Karlheinz CREUGNET Boulouparis au coeur de nos vies,,Bouloupari,859,2265,3381,37.92,25.41,2
BOULOUPARI,municipales_2026,1,,,liste,"Roger Philippe THEVEDIN Construire ensemble, Berepwari",,Bouloupari,444,2265,3381,19.6,13.13,3
BOULOUPARI,municipales_2026,2,,,liste,Pascal VITTORIBoulouparispour vous,,Bouloupari,1054,2435,3381,43.29,31.17,1
BOULOUPARI,municipales_2026,2,,,liste,Karlheinz CREUGNETBoulouparisau coeur de nos vies,,Bouloupari,932,2435,3381,38.28,27.57,2
BOULOUPARI,municipales_2026,2,,,liste,"Roger Philippe THEVEDINConstruire ensemble, Berepwari",,Bouloupari,449,2435,3381,18.44,13.28,3
BOULOUPARI,provinciales_2019,,PS,Province Sud,liste,PS_liste_03,,Boulouparis,835,1794,2659,46.54,31.4,1
BOULOUPARI,provinciales_2019,,PS,Province Sud,liste,PS_liste_07,,Boulouparis,348,1794,2659,19.4,13.09,2
BOULOUPARI,provinciales_2019,,PS,Province Sud,liste,PS_liste_11,,Boulouparis,293,1794,2659,16.33,11.02,3
