election,tour,commune_norm,commune,bloc,camp_institutionnel,nb_bureaux,nb_bureaux_geolocalises,inscrits,votants,abstentions,exprimes,voix_bloc,options,pct_exprimes,pct_inscrits
legislatives_2022,2,KONE,Koné,independantiste,independantiste,12,12,5089,2548,2541,2497,1624,Union caledonienne,65.04,31.91
legislatives_2022,2,KONE,Koné,loyaliste,anti_independantiste,12,12,5089,2548,2541,2497,873,Generations NC,34.96,17.15
legislatives_2022,2,KOUAOUA,Kouaoua,independantiste,independantiste,4,4,1196,680,516,669,559,Union caledonienne,83.56,46.74
legislatives_2022,2,KOUAOUA,Kouaoua,loyaliste,anti_independantiste,4,4,1196,680,516,669,110,Generations NC,16.44,9.2
legislatives_2022,2,KOUMAC,Koumac,independantiste,independantiste,2,2,3127,1439,1688,1416,403,Union caledonienne,28.46,12.89
legislatives_2022,2,KOUMAC,Koumac,loyaliste,anti_independantiste,2,2,3127,1439,1688,1416,1013,Generations NC,71.54,32.4
legislatives_2022,2,LAFOA,La Foa,independantiste,independantiste,4,4,3440,2144,1296,2064,611,Union caledonienne,29.6,17.76
legislatives_2022,2,LAFOA,La Foa,loyaliste,anti_independantiste,4,4,3440,2144,1296,2064,1453,Generations NC,70.4,42.24
legislatives_2022,2,LIFOU,Lifou,centriste,anti_independantiste,28,28,11006,5243,5763,5220,318,Caledonie ensemble,6.09,2.89
legislatives_2022,2,LIFOU,Lifou,independantiste,independantiste,28,28,11006,5243,5763,5220,4902,Palika,93.91,44.54
legislatives_2022,2,MARE,Maré,centriste,anti_independantiste,14,14,6948,2513,4435,2496,204,Caledonie ensemble,8.17,2.94
legislatives_2022,2,MARE,Maré,independantiste,independantiste,14,14,6948,2513,4435,2496,2292,Palika,91.83,32.99
legislatives_2022,2,MOINDOU,Moindou,independantiste,independantiste,1,1,822,486,336,466,191,Union caledonienne,40.99,23.24
legislatives_2022,2,MOINDOU,Moindou,loyaliste,anti_independantiste,1,1,822,486,336,466,275,Generations NC,59.01,33.45
legislatives_2022,2,MONTDORE,Mont-Dore,independantiste,independantiste,25,25,22120,9860,12260,9530,2160,Union caledonienne,22.67,9.76
legislatives_2022,2,MONTDORE,Mont-Dore,loyaliste,anti_independantiste,25,25,22120,9860,12260,9530,7370,Generations NC,77.33,33.32
legislatives_2022,2,NOUMEA,Nouméa,centriste,anti_independantiste,56,56,72730,29912,42818,28868,24878,Caledonie ensemble,86.18,34.21
legislatives_2022,2,NOUMEA,Nouméa,independantiste,independantiste,56,56,72730,29912,42818,28868,3990,Palika,13.82,5.49
