province;commune;num_bv;bv;inscrits;votants;abstention;nuls;blancs;exprimes;oui;non
Province des Iles;Ouvéa;3;Heo;372;256;116;1;0;255;222;33
Province des Iles;Ouvéa;8;Lieu de vote délocalisé d’Ouvéa à Nouméa;659;604;55;4;3;597;531;66
Province Sud;Païta;4;Dock socio-culturel 4;434;386;48;1;1;384;68;316
Province Sud;Païta;5;Dock socio-culturel 5;693;621;72;3;4;614;121;493
Province Sud;Païta;10;École élémentaire Scheffleras 2;763;647;116;2;10;635;193;442
Province Sud;Païta;12;École maternelle Scheffleras 2;603;544;59;2;7;535;107;428
Province Sud;Païta;16;École Robert Abel- 1;488;454;34;0;2;452;25;427
Province Nord;Poindimié;1;Mairie;1127;994;133;7;4;983;571;412
Province Nord;Poindimié;4;Amoa;495;471;24;3;1;467;427;40
Province Nord;Poindimié;6;Tiwaka;329;294;35;0;1;293;264;29
Province Nord;Pouébo;3;Yambé;401;347;54;1;0;346;338;8
Province Nord;Pouembout;1;Mairie;1181;1048;133;4;5;1039;370;669
Province Nord;Pouembout;2;Paouta;162;151;11;3;2;146;138;8
Province Nord;Pouembout;3;Ouaté;139;126;13;0;1;125;123;2
Province Nord;Poum;3;École catholique d’Arama;395;335;60;2;0;333;307;26
Province Nord;Poya Nord;1;Mairie 1;543;495;48;3;2;490;273;217
Province Nord;Poya Nord;2;Gohapin;468;419;49;1;1;417;403;14
Province Nord;Poya Nord;3;Népoui;713;631;82;6;1;624;245;379
Province Nord;Poya Nord;4;Montfaoué;264;234;30;0;0;234;223;11
Province Nord;Poya Nord;6;Nékliai;188;169;19;1;0;168;157;11
Province Sud;Thio;1;Mairie;808;715;93;2;2;711;495;216
Province Sud;Thio;2;Mairie;589;526;63;4;1;521;492;29
Province Sud;Thio;3;Grand Borendy;313;264;49;6;0;258;253;5
Province Nord;Touho;2;Tiouandé;234;202;32;2;1;199;176;23
Province Nord;Touho;4;Paola;416;373;43;1;1;371;350;21
Province Nord;Voh;1;Mairie;847;748;99;5;14;729;335;394
Province Nord;Voh;7;Local socio-éducatif de Témala;361;339;22;1;0;338;331;7
Province Sud;Yaté;1;Mairie;282;263;19;1;0;262;219;43
Province Sud;Yaté;2;Touaourou;480;443;37;1;1;441;404;37
