commune;num_bv;bv;inscrits;votants;abstention;nuls;blancs;exprimes;oui;non
LA FOA;4;Centre socio-culturel;567.0;527.0;40;2;3;522;131;391
LIFOU;1;Faré des îles;550.0;317.0;233;3;2;312;213;99
LIFOU;2;Xepenehe;615.0;331.0;284;4;3;324;275;49
LIFOU;7;Mou;486.0;269.0;217;3;1;265;158;107
LIFOU;8;Hnathalo;519.0;350.0;169;4;1;345;309;36
LIFOU;11;Wasany;311.0;185.0;126;1;1;183;139;44
LIFOU;12;Tiga;191.0;58.0;133;0;2;56;52;4
LIFOU;13;Luecila;607.0;424.0;183;5;5;414;303;111
LIFOU;16;Xodre;158.0;85.0;73;0;0;85;61;24
LIFOU;18;Wedrumel;290.0;153.0;137;1;0;152;112;40
LIFOU;23;Luengoni;261.0;173.0;88;4;1;168;147;21
LIFOU;24;Hnanemuhaetra;124.0;71.0;53;2;0;69;57;12
LIFOU;27;Lieu de vote délocalisé n°1 de Lifou à Nouméa;755.0;699.0;56;5;3;691;558;133
LIFOU;28;Lieu de vote délocalisé n°2 de Lifou à Nouméa;725.0;674.0;51;4;3;667;532;135
MARE;4;Atha;324.0;191.0;133;2;0;189;177;12
MARE;7;Wabao;612.0;321.0;291;1;0;320;284;36
MARE;8;Nece;787.0;321.0;466;3;0;318;247;71
MARE;13;La Roche;594.0;347.0;247;4;0;343;305;38
MOINDOU;1;Mairie;747.0;682.0;65;5;5;672;299;373
MONT-DORE;1;Mairie de BOULARI;645.0;515.0;130;7;3;505;130;375
MONT-DORE;2;Groupe scolaire Hélène CHANIEL;468.0;383.0;85;2;5;376;47;329
MONT-DORE;3;École primaire Adolphe BOUTAN;739.0;652.0;87;1;13;638;105;533
MONT-DORE;7;Ouara;95.0;77.0;18;1;0;76;69;7
MONT-DORE;13;École maternelle Les Fougères;412.0;335.0;77;2;1;332;79;253
MONT-DORE;15;École maternelle Les Coccinelles;1036.0;875.0;161;18;11;846;232;614
MONT-DORE;22;École de la Briqueterie 1;652.0;530.0;122;8;9;513;141;372
MONT-DORE;23;École de la Briqueterie 2;611.0;505.0;106;6;3;496;78;418
NOUMEA;1;Mairie 1;632.0;448.0;184;2;1;445;109;336
NOUMEA;4;École Marguerite LEFRANCOIS;630.0;542.0;88;2;4;536;20;516
NOUMEA;6;École Eloi FRANC 1;781.0;684.0;97;3;6;675;63;612
NOUMEA;9;École Fernande LERICHE 2;780.0;687.0;93;4;0;683;33;650
NOUMEA;11;École Jean MERMOUD 2;764.0;697.0;67;2;3;692;4;688
NOUMEA;16;École Candide KOCH 1;790.0;632.0;158;0;6;626;59;567
NOUMEA;18;École Emily PANNE 1;777.0;665.0;112;1;6;658;65;593
NOUMEA;22;École Marie HAVET 2;814.0;711.0;103;2;11;698;40;658
NOUMEA;31;École Marie COURTOT 1;1145.0;921.0;224;7;5;909;211;698
NOUMEA;32;École Marie COURTOT 2;849.0;751.0;98;3;5;743;47;696
NOUMEA;35;École les ŒILLETS;915.0;740.0;175;1;6;733;184;549
NOUMEA;23;École Christine BOLETTI 1;839.0;706.0;133;2;6;698;64;634
NOUMEA;26;École Michel CACOT 2;890.0;716.0;174;2;4;710;74;636
NOUMEA;40;École Adrienne LOMONT 2;1231.0;980.0;251;6;6;968;207;761
NOUMEA;41;École Gustave LODS 1;1035.0;844.0;191;10;17;817;173;644
NOUMEA;44;École Louise VERGES;1117.0;789.0;328;10;16;763;429;334
NOUMEA;45;École Mathilde BROQUET 2;1191.0;993.0;198;5;7;981;206;775
NOUMEA;46;École Yvonne DUPONT 2;512.0;461.0;51;2;1;458;9;449
NOUMEA;51;École Michel AMIOT;946.0;800.0;146;0;5;795;124;671
NOUMEA;54;École le PETIT POUCET;966.0;763.0;203;3;8;752;152;600
NOUMEA;55;École Serge LAIGLE;865.0;797.0;68;1;10;786;29;757
NOUMEA;56;École Guy CHAMPMOREAU;1157.0;967.0;190;2;5;960;156;804
NOUMEA;57;Mairie 3;592.0;183.0;409;2;4;177;70;107
OUEGOA;2;Bondé;814.0;697.0;117;2;1;694;676;18
OUVEA;4;Mouli;325.0;191.0;134;1;0;190;181;9
OUVEA;6;Ognahut;368.0;200.0;168;3;1;196;158;38
OUVEA;N°8;Lieu de vote délocalisé d’Ouvéa à Nouméa;679.0;631.0;48;2;1;628;528;100
PAITA;1;Dock socio-culturel 1;573.0;441.0;132;3;4;434;116;318
PAITA;2;Dock socio-culturel 2;616.0;526.0;90;3;4;519;90;429
PAITA;3;Dock socio-culturel 3;658.0;565.0;93;3;2;560;144;416
PAITA;4;Dock socio-culturel 4;356.0;316.0;40;1;2;313;48;265
PAITA;11;École maternelle Scheffleras 1;716.0;611.0;105;4;7;600;134;466
PAITA;15;Mairie annexe de Tontouta;609.0;540.0;69;2;7;531;85;446
PAITA;16;École Robert Abel- 1;439.0;407.0;32;2;2;403;24;379
POINDIMIE;5;Tyé;561.0;501.0;60;4;2;495;448;47
POINDIMIE;6;Tiwaka;323.0;283.0;40;1;2;280;246;34
PONERIHOUEN;6;Mou;162.0;142.0;20;0;0;142;127;15
PONERIHOUEN;7;Goyetta;329.0;279.0;50;2;1;276;260;16
POUEBO;1;Mairie;720.0;598.0;122;2;0;596;569;27
POUEBO;4;Saint-Louis;554.0;457.0;97;4;1;452;431;21
POUEMBOUT;2;Paouta;155.0;140.0;15;3;2;135;121;14
POUEMBOUT;3;Ouaté;133.0;111.0;22;4;0;107;101;6
POUM;2;Tiabet;382.0;341.0;41;2;2;337;320;17
POYA;1;Mairie 1;526.0;462.0;64;4;3;455;222;233
POYA;5;Maison Moindah;159.0;147.0;12;1;0;146;3;143
THIO;1;Mairie;800.0;672.0;128;5;2;665;436;229
VOH;1;Mairie;1446.0;1249.0;197;18;13;1218;791;427
VOH;2;Témala;819.0;733.0;86;12;6;715;521;194
YATE;1;Mairie;278.0;257.0;21;4;0;253;206;47
YATE;2;Touaourou;473.0;434.0;39;2;0;432;370;62
YATE;3;Goro;217.0;193.0;24;0;1;192;156;36
